Date,AAPL,GOOGL,MSFT,AMZN,TSLA,NAT,AMD,AACT,META
2018-01-02,40.83158493041992,53.660499572753906,80.56204223632812,59.45050048828125,21.368667602539062,1.9081469774246216,10.979999542236328,,181.4199981689453
2018-01-03,40.82447814941406,54.57600021362305,80.93696594238281,60.209999084472656,21.149999618530273,1.9452707767486572,11.550000190734863,,184.6699981689453
2018-01-04,41.014102935791016,54.78799819946289,81.64933776855469,60.47949981689453,20.974666595458984,1.900722622871399,12.119999885559082,,184.3300018310547
2018-01-05,41.48106384277344,55.51449966430664,82.66162109375,61.457000732421875,21.10533332824707,1.915572166442871,11.880000114440918,,186.85000610351562
2018-01-08,41.32699966430664,55.71049880981445,82.74600219726562,62.34349822998047,22.42733383178711,1.9081469774246216,12.279999732971191,,188.27999877929688
2018-01-09,41.32225036621094,55.63949966430664,82.68974304199219,62.6349983215332,22.246000289916992,1.871023416519165,11.819999694824219,,187.8699951171875
2018-01-10,41.31277847290039,55.50699996948242,82.31482696533203,62.71649932861328,22.31999969482422,1.952695608139038,11.960000038146973,,187.83999633789062
2018-01-11,41.54743194580078,55.602500915527344,82.55854797363281,63.83399963378906,22.530000686645508,1.9601207971572876,12.140000343322754,,187.77000427246094
2018-01-12,41.976463317871094,56.532501220703125,83.98323822021484,65.26000213623047,22.4146671295166,1.952695608139038,12.020000457763672,,179.3699951171875
2018-01-16,41.76314163208008,56.53499984741211,82.81160736083984,65.24299621582031,22.67066764831543,1.952695608139038,11.90999984741211,,178.38999938964844
2018-01-17,42.452903747558594,56.95500183105469,84.48938751220703,64.75,23.143999099731445,1.952695608139038,12.180000305175781,,177.60000610351562
2018-01-18,42.49082565307617,56.798500061035156,84.45189666748047,64.66600036621094,22.971332550048828,1.937846302986145,12.470000267028809,,179.8000030517578
2018-01-19,42.30120849609375,57.17499923706055,84.358154296875,64.72899627685547,23.334667205810547,1.952695608139038,12.59000015258789,,181.2899932861328
2018-01-22,41.955135345458984,58.20800018310547,85.86725616455078,66.3655014038086,23.437332153320312,1.9601207971572876,12.649999618530273,,185.3699951171875
2018-01-23,41.9646110534668,58.80849838256836,86.13906860351562,68.12699890136719,23.519332885742188,1.937846302986145,12.9399995803833,,189.35000610351562
2018-01-24,41.296180725097656,58.56449890136719,86.06407928466797,67.87550354003906,23.05933380126953,1.8784486055374146,12.710000038146973,,186.5500030517578
2018-01-25,40.55900192260742,59.106998443603516,86.54209899902344,68.89749908447266,22.50933265686035,1.871023416519165,12.40999984741211,,187.47999572753906
2018-01-26,40.65380859375,59.37799835205078,88.16365814208984,70.10250091552734,22.856666564941406,1.8561748266220093,12.949999809265137,,190.0
2018-01-29,39.81234359741211,59.32400131225586,88.03244018554688,70.88400268554688,23.302000045776367,1.7967768907546997,13.319999694824219,,185.97999572753906
2018-01-30,39.577674865722656,58.868499755859375,86.92640686035156,71.89099884033203,23.05466651916504,1.7299548387527466,12.869999885559082,,187.1199951171875
2018-01-31,39.686710357666016,59.111000061035156,89.0541000366211,72.54450225830078,23.62066650390625,1.7151052951812744,13.739999771118164,,186.88999938964844
2018-02-01,39.76967239379883,59.079498291015625,88.35111236572266,69.5,23.28333282470703,1.648282766342163,13.25,,193.08999633789062
2018-02-02,38.04405212402344,55.959999084472656,86.0265884399414,71.49749755859375,22.916667938232422,1.559186577796936,12.449999809265137,,190.27999877929688
2018-02-05,37.09355545043945,53.11949920654297,82.48353576660156,69.5,22.208667755126953,1.4775149822235107,11.569999694824219,,181.25999450683594
2018-02-06,38.64375686645508,54.221500396728516,85.60478973388672,72.14199829101562,22.264667510986328,1.6111598014831543,11.649999618530273,,185.30999755859375
2018-02-07,37.81650924682617,52.77050018310547,83.99260711669922,70.83899688720703,23.0,1.5220630168914795,11.600000381469727,,180.17999267578125
2018-02-08,36.77592468261719,50.385501861572266,79.68096923828125,67.5250015258789,21.01533317565918,1.4700902700424194,11.220000267028809,,171.5800018310547
2018-02-09,37.225746154785156,52.313499450683594,82.65225982666016,66.9800033569336,20.69466781616211,1.4626654386520386,11.3100004196167,,176.11000061035156
2018-02-12,38.72515106201172,52.72800064086914,83.5427017211914,69.3115005493164,21.048667907714844,1.6260088682174683,11.680000305175781,,176.41000366210938
2018-02-13,39.113094329833984,52.707000732421875,84.1988296508789,70.72550201416016,21.577333450317383,1.5888853073120117,11.779999732971191,,173.14999389648438
2018-02-14,39.834228515625,53.6349983215332,85.5172348022461,72.55249786376953,21.487333297729492,1.5963101387023926,12.199999809265137,,179.52000427246094
2018-02-15,41.17180252075195,54.56800079345703,87.25939178466797,73.08799743652344,22.271333694458008,1.6334335803985596,12.1899995803833,,179.9600067138672
2018-02-16,41.03853225708008,54.775001525878906,86.63786315917969,72.43450164794922,22.365999221801758,1.618584156036377,11.819999694824219,,177.36000061035156
2018-02-20,40.900489807128906,55.179500579833984,87.31591796875,73.4175033569336,22.31800079345703,1.6336406469345093,12.020000457763672,,176.00999450683594
2018-02-21,40.71483612060547,55.6875,86.15760803222656,74.14600372314453,22.219999313354492,1.626112461090088,11.720000267028809,,177.91000366210938
2018-02-22,41.05518341064453,55.494998931884766,86.38363647460938,74.26699829101562,23.077999114990234,1.6486972570419312,11.84000015258789,,178.99000549316406
2018-02-23,41.769187927246094,56.40449905395508,88.57780456542969,75.0,23.469999313354492,1.70892333984375,12.069999694824219,,183.2899932861328
2018-02-26,42.595054626464844,57.185001373291016,89.8585433959961,76.09750366210938,23.827999114990234,1.7917349338531494,12.420000076293945,,184.92999267578125
